"2.5CI","Median","97.5CI"
"92",1392.93140913003,1506.02424289892,1623.14883575216
"93",1390.79927309116,1503.6361604598,1620.49910675058
"94",1388.51287257575,1500.97806717271,1616.9511261188
"95",1385.9661138708,1497.9454377801,1613.75775570811
"96",1383.19931591493,1494.60889162223,1610.08693890716
"97",1380.2098505136,1491.00232304322,1605.83290544496
"98",1376.76518755592,1487.05736468357,1601.22822062499
"99",1373.06717931895,1483.08264789439,1596.26535769887
"100",1369.40448095632,1478.71934553652,1591.01536913986
"101",1365.30382037836,1474.02594607825,1585.15845222059
"102",1361.11375634587,1469.11245212714,1579.40082876648
"103",1356.79220808835,1463.86331347947,1573.45616799203
"104",1352.23297865083,1458.49538067701,1566.93198190443
"105",1347.39056580748,1452.88635734307,1560.25564169412
"106",1342.46511746917,1446.94238264147,1553.22732760348
"107",1337.02416546032,1440.82507211581,1546.02025228598
"108",1331.53242967085,1434.56904095341,1538.80001954765
"109",1325.90744548283,1428.027711661,1531.76864127009
"110",1320.08325651051,1421.19491026892,1524.13046463113
"111",1314.74088464967,1414.19947504682,1516.18014315415
"112",1308.14891002873,1406.97257623138,1507.62870920237
"113",1301.80405949726,1399.64831202593,1499.04601304356
"114",1295.39716042775,1392.15188092021,1490.20839307384
"115",1288.53635808844,1384.51263607675,1481.91936589871
"116",1281.59252242803,1376.79162293998,1473.07159884768
"117",1274.43750809782,1368.88986350177,1463.59701867696
"118",1267.11087635252,1360.80591424558,1454.38196786235
"119",1259.65223109195,1352.5250617938,1445.25551216195
"120",1252.47569449406,1344.11614238647,1436.09879502627
"121",1245.25958423885,1335.70573921731,1427.25300796195
"122",1238.51748810981,1328.00789326293,1418.68104567736
"123",1232.34978926389,1320.77173947044,1410.52786984041
"124",1226.34715449713,1314.15327992034,1402.94646327055
"125",1220.79528399882,1307.78043537657,1395.96747091786
"126",1215.55870834398,1301.68480922062,1389.52649856349
"127",1210.72484340955,1296.09138955196,1383.42974072238
"128",1206.09905076835,1290.99881735186,1377.78298887612
"129",1201.53231211011,1286.13217926859,1372.55515395945
"130",1197.37678758472,1281.65413138558,1367.31390582388
"131",1193.54073945021,1277.42333439855,1362.73432636698
"132",1190.03217409044,1273.50304217012,1358.51565550169
"133",1186.77076762103,1269.83839107438,1354.65608137866
"134",1183.73966612522,1266.40958640954,1351.02153650052
"135",1180.83604261655,1263.20080368023,1347.70282237262
"136",1178.15644225788,1260.23529758246,1344.37954278657
"137",1175.6083457444,1257.45751933113,1341.40244053808
"138",1173.18052204685,1254.95251613877,1338.71949604452
"139",1171.09934209048,1252.62486244519,1336.22371234294
"140",1169.33963806177,1250.38811175561,1333.71101573719
"141",1167.57170053209,1248.33013764648,1331.58519174612
"142",1165.91738552634,1246.50801068944,1329.45767756067
"143",1164.21312754603,1244.67775537377,1327.90827809816
"144",1162.52047058447,1243.21663291197,1326.25353506778
"145",1161.03560539724,1241.79001525012,1324.84547470795
"146",1159.76006845912,1240.48356283213,1323.55460258439
"147",1158.63296685507,1239.37398293843,1322.42970060777
"148",1157.72447231543,1238.37578238123,1321.268769426
"149",1156.66948426285,1237.34616379781,1320.330430894
"150",1155.81684276142,1236.37087557884,1319.35789903039
"151",1155.06557686774,1235.52138488205,1318.41029997004
"152",1154.27581094579,1234.83984098439,1317.58235875148
"153",1153.44528783491,1234.26642468979,1316.85630123095
"154",1152.96823576995,1233.80087889652,1316.40172779295
"155",1152.51411104039,1233.30536330086,1316.02869466382
"156",1151.93090737993,1232.88272905555,1315.45557596422
"157",1151.44765828083,1232.58977674322,1315.57510321238
"158",1151.0412230962,1232.42128751131,1315.52183436225
"159",1150.73702365662,1232.24404949138,1315.69460917541
"160",1150.37266458024,1232.16760685897,1315.47451217788
"161",1150.04332456014,1232.0502701392,1315.39793334274
"162",1149.80619484785,1231.97521193989,1315.77137755523
"163",1149.72105959409,1231.96962704082,1316.12139728524
"164",1149.69377682773,1232.05617468588,1316.26472311418
"165",1149.51762558123,1232.18820950702,1316.74469375677
"166",1149.52864617827,1232.22290198358,1316.7504015243
"167",1149.46868514131,1232.33093803052,1316.92337173111
"168",1149.37209343009,1232.50150369372,1317.24139964911
"169",1149.33986319189,1232.73371170813,1317.97520273818
"170",1149.35751297566,1232.9817222722,1318.33980749186
"171",1149.47501963997,1233.25790422502,1318.81808915692
"172",1149.62407146265,1233.52173763586,1319.29114396724
"173",1149.77343451625,1233.87149193421,1319.88086800991
"174",1149.99104794073,1234.22917839265,1320.48581141985
"175",1150.20717741848,1234.64163650322,1321.0402597446
"176",1150.44063979441,1235.04257391649,1321.60798687279
"177",1150.69262013178,1235.36791529322,1322.41627851241
"178",1151.01066808082,1235.88953425554,1323.09509112366
"179",1151.2298011318,1236.31654997065,1323.71078913719
"180",1151.43582851761,1236.78827118006,1324.36987640247
"181",1151.65962527372,1237.30289890149,1325.16112244806
"182",1152.0042518561,1237.71914409242,1325.78015459274
