time,IPTGpre,aTcpre,IPTG,aTc
610,0.25,20,0,50
611,0.25,20,0,50
612,0.25,20,0,50
613,0.25,20,0,50
614,0.25,20,0.5,0
615,0.25,20,0.5,0
616,0.25,20,0.5,0
617,0.25,20,0.5,0
618,0.25,20,0.5,0
619,0.25,20,0.5,0
620,0.25,20,0.5,0
621,0.25,20,0.5,0
622,0.25,20,0.5,0
623,0.25,20,0.5,0
624,0.25,20,0.5,0
625,0.25,20,0.5,0
626,0.25,20,0.5,0
627,0.25,20,0.5,0
628,0.25,20,0.5,0
629,0.25,20,0.5,0
630,0.25,20,0.5,0
631,0.25,20,0.5,0
632,0.25,20,0.5,0
633,0.25,20,0.5,0
634,0.25,20,0.5,0
635,0.25,20,0.5,0
636,0.25,20,0.5,0
637,0.25,20,0.5,0
638,0.25,20,0.5,0
639,0.25,20,0.5,0
640,0.25,20,0.5,0
641,0.25,20,0.5,0
642,0.25,20,0.5,0
643,0.25,20,0.5,0
644,0.25,20,0.5,0
645,0.25,20,0.5,0
646,0.25,20,0.5,0
647,0.25,20,0.5,0
648,0.25,20,0.5,0
649,0.25,20,0.5,0
650,0.25,20,0.5,0
651,0.25,20,0.5,0
652,0.25,20,0.5,0
653,0.25,20,0.5,0
654,0.25,20,0.5,0
655,0.25,20,0.5,0
656,0.25,20,0.5,0
657,0.25,20,0.5,0
658,0.25,20,0.5,0
659,0.25,20,0.5,0
660,0.25,20,0.5,0
661,0.25,20,0.5,0
662,0.25,20,0.5,0
663,0.25,20,0.5,0
664,0.25,20,0.5,0
665,0.25,20,0.5,0
666,0.25,20,0.5,0
667,0.25,20,0.5,0
668,0.25,20,0.5,0
669,0.25,20,0.5,0
670,0.25,20,0.5,0
671,0.25,20,0.5,0
672,0.25,20,0.5,0
673,0.25,20,0.5,0
674,0.25,20,0.5,0
675,0.25,20,0.5,0
676,0.25,20,0.5,0
677,0.25,20,0.5,0
678,0.25,20,0.5,0
679,0.25,20,0.5,0
680,0.25,20,0.5,0
681,0.25,20,0.5,0
682,0.25,20,0.5,0
683,0.25,20,0.5,0
684,0.25,20,0.5,0
685,0.25,20,0.5,0
686,0.25,20,0.5,0
687,0.25,20,0.5,0
688,0.25,20,0.5,0
689,0.25,20,0,50
690,0.25,20,0,50
691,0.25,20,0,50
692,0.25,20,0,50
693,0.25,20,0,50
694,0.25,20,0,50
695,0.25,20,0,50
696,0.25,20,0,50
697,0.25,20,0,50
698,0.25,20,0,50
699,0.25,20,0,50
700,0.25,20,0,50
701,0.25,20,0,50
702,0.25,20,0,50
703,0.25,20,0,50
704,0.25,20,0.5,0
705,0.25,20,0.5,0
706,0.25,20,0.5,0
707,0.25,20,0.5,0
708,0.25,20,0.5,0
709,0.25,20,0.5,0
710,0.25,20,0.5,0
711,0.25,20,0.5,0
712,0.25,20,0.5,0
713,0.25,20,0.5,0
714,0.25,20,0.5,0
715,0.25,20,0.5,0
716,0.25,20,0.5,0
717,0.25,20,0.5,0
718,0.25,20,0.5,0
719,0.25,20,0.5,0
720,0.25,20,0.5,0
721,0.25,20,0.5,0
722,0.25,20,0.5,0
723,0.25,20,0.5,0
724,0.25,20,0.5,0
725,0.25,20,0.5,0
726,0.25,20,0.5,0
727,0.25,20,0.5,0
728,0.25,20,0.5,0
729,0.25,20,0.5,0
730,0.25,20,0.5,0
731,0.25,20,0.5,0
732,0.25,20,0.5,0
733,0.25,20,0.5,0
734,0.25,20,0.5,0
735,0.25,20,0.5,0
736,0.25,20,0.5,0
