time,IPTGpre,aTcpre,IPTG,aTc
551,1,0,0.42,35
552,1,0,0.42,35
553,1,0,0.42,35
554,1,0,0.43,36
555,1,0,0.43,36
556,1,0,0.43,36
557,1,0,0.43,36
558,1,0,0.43,36
559,1,0,0.47,43
560,1,0,0.47,43
561,1,0,0.47,43
562,1,0,0.47,43
563,1,0,0.47,43
564,1,0,0.44,35
565,1,0,0.44,35
566,1,0,0.44,35
567,1,0,0.44,35
568,1,0,0.44,35
569,1,0,0.41,36
570,1,0,0.41,36
571,1,0,0.41,36
572,1,0,0.41,36
573,1,0,0.41,36
574,1,0,0.49,48
575,1,0,0.49,48
576,1,0,0.49,48
577,1,0,0.49,48
578,1,0,0.49,48
579,1,0,0.45,31
580,1,0,0.45,31
581,1,0,0.45,31
582,1,0,0.45,31
583,1,0,0.45,31
584,1,0,0.43,33
585,1,0,0.43,33
586,1,0,0.43,33
587,1,0,0.43,33
588,1,0,0.43,33
589,1,0,0.45,30
590,1,0,0.45,30
591,1,0,0.45,30
592,1,0,0.45,30
593,1,0,0.45,30
594,1,0,0.4,17
595,1,0,0.4,17
596,1,0,0.4,17
597,1,0,0.4,17
598,1,0,0.4,17
599,1,0,0.44,21
600,1,0,0.44,21
601,1,0,0.44,21
602,1,0,0.44,21
603,1,0,0.44,21
604,1,0,0.41,25
605,1,0,0.41,25
606,1,0,0.41,25
607,1,0,0.41,25
608,1,0,0.41,25
609,1,0,0.41,17
610,1,0,0.41,17
611,1,0,0.41,17
612,1,0,0.41,17
613,1,0,0.41,17
614,1,0,0.45,24
615,1,0,0.45,24
616,1,0,0.45,24
617,1,0,0.45,24
618,1,0,0.45,24
619,1,0,0.47,31
620,1,0,0.47,31
621,1,0,0.47,31
622,1,0,0.47,31
623,1,0,0.47,31
624,1,0,0.47,21
625,1,0,0.47,21
626,1,0,0.47,21
627,1,0,0.47,21
628,1,0,0.47,21
629,1,0,0.45,15
630,1,0,0.45,15
631,1,0,0.45,15
632,1,0,0.45,15
633,1,0,0.45,15
634,1,0,0.44,0
635,1,0,0.44,0
636,1,0,0.44,0
637,1,0,0.44,0
638,1,0,0.44,0
639,1,0,0.47,5
640,1,0,0.47,5
641,1,0,0.47,5
642,1,0,0.47,5
643,1,0,0.47,5
644,1,0,0.44,0
645,1,0,0.44,0
646,1,0,0.44,0
647,1,0,0.44,0
648,1,0,0.44,0
649,1,0,0.47,0
650,1,0,0.47,0
651,1,0,0.47,0
652,1,0,0.47,0
653,1,0,0.47,0
654,1,0,0.46,0
655,1,0,0.46,0
656,1,0,0.46,0
657,1,0,0.46,0
658,1,0,0.46,0
659,1,0,0.48,0
660,1,0,0.48,0
661,1,0,0.48,0
662,1,0,0.48,0
663,1,0,0.48,0
664,1,0,0.46,0
665,1,0,0.46,0
666,1,0,0.46,0
667,1,0,0.46,0
668,1,0,0.46,0
669,1,0,0.47,14
670,1,0,0.47,14
671,1,0,0.47,14
672,1,0,0.47,14
673,1,0,0.47,14
674,1,0,0.5,4
675,1,0,0.5,4
676,1,0,0.5,4
677,1,0,0.5,4
678,1,0,0.5,4
679,1,0,0.48,0
680,1,0,0.48,0
681,1,0,0.48,0
682,1,0,0.48,0
683,1,0,0.48,0
684,1,0,0.5,0
685,1,0,0.5,0
686,1,0,0.5,0
687,1,0,0.5,0
688,1,0,0.5,0
689,1,0,0.49,0
690,1,0,0.49,0
691,1,0,0.49,0
692,1,0,0.49,0
693,1,0,0.49,0
694,1,0,0.5,0
695,1,0,0.5,0
696,1,0,0.5,0
697,1,0,0.5,0
698,1,0,0.5,0
699,1,0,0.5,0
700,1,0,0.5,0
701,1,0,0.5,0
702,1,0,0.5,0
703,1,0,0.5,0
704,1,0,0.5,0
705,1,0,0.5,0
706,1,0,0.5,0
707,1,0,0.5,0
708,1,0,0.5,0
709,1,0,0.48,0
710,1,0,0.48,0
711,1,0,0.48,0
712,1,0,0.48,0
713,1,0,0.48,0
714,1,0,0.48,0
715,1,0,0.48,0
716,1,0,0.48,0
717,1,0,0.48,0
718,1,0,0.48,0
719,1,0,0.46,0
720,1,0,0.46,0
721,1,0,0.46,0
722,1,0,0.46,0
723,1,0,0.46,0
724,1,0,0.46,0
725,1,0,0.46,0
726,1,0,0.46,0
727,1,0,0.46,0
728,1,0,0.46,0
729,1,0,0.48,1
730,1,0,0.48,1
